name,category_slug,phone,website,address,district,khoroo,lat,lng,description,price_level
Дэлгүүр маркет,supermarket,77001122,https://delguurmarket.mn,"Улаанбаатар, Баянгол дүүрэг, 3-р хороо",bayangol,3,47.9151,106.8492,"Хүнсний болон ахуйн барааны дэлгүүр. Өргөн сонголт.",2
Уулын кофе,coffee-shop,88112233,,"Сүхбаатар дүүрэг, 1-р хороо, Чингисийн өргөн чөлөө",sukhbaatar,1,47.9261,106.9183,"Гар хийцийн специалти кофе, тайван орчин.",2
Эрдэнэт ресторан,restaurant,99223344,https://erdenetrestaurant.mn,"Хан-Уул дүүрэг, 11-р хороо",khan-uul,11,47.8803,106.9105,"Монгол үндэсний хоол, том танхимтай.",3
Цагаан сар шүдний эмнэлэг,dental,70334455,,"Чингэлтэй дүүрэг, 4-р хороо",chingeltei,4,47.9451,106.9051,"Орчин үеийн шүдний эмчилгээ, цайруулалт.",3
Спортлайф фитнес,fitness,80445566,https://sportlife.mn,"Баянзүрх дүүрэг, 14-р хороо",bayanzurkh,14,47.9131,106.9702,"24 цагийн фитнес клуб, дасгалжуулагчтай.",3
Гоо салон бьюти,beauty-salon,90556677,,"Сүхбаатар дүүрэг, 6-р хороо",sukhbaatar,6,47.9258,106.9170,"Үс засал, нүүр будалт, маникюр.",2
Сансар бургер,fast-food,75667788,,"Баянгол дүүрэг, 20-р хороо",bayangol,20,47.9160,106.8520,"Шинэхэн махан бургер, хүргэлттэй.",1
Найрамдал зочид буудал,hotel,76778899,https://nairamdalhotel.mn,"Сүхбаатар дүүрэг, 8-р хороо",sukhbaatar,8,47.9270,106.9201,"Хотын төвд байрлах тав тухтай буудал.",4
Авто засвар төв,auto-repair,88990011,,"Сонгинохайрхан дүүрэг, 2-р хороо",songinokhairkhan,2,47.9301,106.7805,"Хөдөлгүүр, явах эд ангийн засвар.",2
Талх нарийн боов,bakery,99001122,,"Чингэлтэй дүүрэг, 5-р хороо",chingeltei,5,47.9455,106.9060,"Өдөр бүр шинэхэн талх, бялуу.",2
